1010,  1185,  completed,  killed,  2013-08-29 18:24:53,  2013-08-29 18:24:54,  1,  modelParams|clParams|alpha_0.0509293848252.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0532579341686,  100,  0.0509293848252,  11,  14,  3,  NontemporalMultiStep,  0.0532579341686,  0.922222222222, 


jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|inferenceType,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='avg_err':steps=[10]:window=1000:field=letter, 
1011,  1186,  completed,  eof,  2013-08-29 18:25:11,  2013-08-29 18:25:33,  22,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0525,  2236,  0.05005,  11,  14,  3,  NontemporalMultiStep,  0.0525,  0.907, 
1011,  1197,  completed,  eof,  2013-08-29 18:25:11,  2013-08-29 18:25:42,  31,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.005,  2236,  0.0001,  9,  12,  1,  TemporalMultiStep,  0.005,  0.812, 
1011,  1198,  completed,  eof,  2013-08-29 18:25:33,  2013-08-29 18:25:53,  20,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  2236,  0.1,  12,  16,  5,  NontemporalMultiStep,  0.1,  0.908, 
1011,  1199,  completed,  eof,  2013-08-29 18:25:42,  2013-08-29 18:26:12,  30,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.02875,  2236,  0.025075,  10,  13,  2,  TemporalMultiStep,  0.02875,  0.893, 
1011,  1200,  completed,  eof,  2013-08-29 18:25:53,  2013-08-29 18:26:14,  21,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.07625,  2236,  0.075025,  11,  15,  4,  NontemporalMultiStep,  0.07625,  0.911, 
1011,  1201,  completed,  eof,  2013-08-29 18:26:12,  2013-08-29 18:26:42,  30,  modelParams|clParams|alpha_0.0145852851107.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0150958784787,  2236,  0.0145852851107,  9,  12,  2,  TemporalMultiStep,  0.0150958784787,  0.885, 
1011,  1202,  completed,  eof,  2013-08-29 18:26:14,  2013-08-29 18:26:45,  31,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.005,  2236,  0.0001,  9,  12,  1,  TemporalMultiStep,  0.005,  0.812, 
1011,  1203,  completed,  eof,  2013-08-29 18:26:42,  2013-08-29 18:27:12,  30,  modelParams|clParams|alpha_0.0140855702213.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0204417569575,  2236,  0.0140855702213,  9,  12,  1,  TemporalMultiStep,  0.0204417569575,  0.881, 
